2025-04-05 01:13:20 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 20/30: transformer, layers: 3, units: [64, 32, 256], lr: 0.0001
2025-04-05 01:13:25 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 20 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:13:25 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 21/30: lstm, layers: 4, units: [64, 64, 32, 128], lr: 0.001
2025-04-05 01:13:39 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 21 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:13:39 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 22/30: gru, layers: 1, units: [32], lr: 0.0005
2025-04-05 01:13:42 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 22 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:13:42 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 23/30: gru, layers: 3, units: [128, 256, 128], lr: 0.01
2025-04-05 01:14:25 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 23 results: RMSE: 15.6752, Direction Accuracy: 83.33%
2025-04-05 01:14:25 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 24/30: transformer, layers: 4, units: [32, 64, 128, 64], lr: 0.001
2025-04-05 01:14:30 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 24 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:14:30 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 25/30: gru, layers: 3, units: [128, 32, 64], lr: 0.0005
2025-04-05 01:14:40 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 25 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:14:40 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 26/30: gru, layers: 2, units: [128, 64], lr: 0.0005
2025-04-05 01:14:48 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 26 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:14:48 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 27/30: transformer, layers: 1, units: [64], lr: 0.01
2025-04-05 01:14:54 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 27 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:14:54 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 28/30: gru, layers: 1, units: [32], lr: 0.005
2025-04-05 01:15:03 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 28 results: RMSE: 15.7653, Direction Accuracy: 83.33%
2025-04-05 01:15:03 | INFO     | evolution.hyperparameter_tuner:tune:471 - Early stopping after 28 trials without improvement
2025-04-05 01:15:03 | INFO     | evolution.hyperparameter_tuner:tune:511 - Đã lưu mô hình và kết quả tối ưu siêu tham số cho MSFT - five_day
2025-04-05 01:15:03 | INFO     | evolution.hyperparameter_tuner:evolve_model:583 - Thành công: Tiến hóa mô hình MSFT - five_day
2025-04-05 01:15:03 | INFO     | evolution.hyperparameter_tuner:evolve_all_models:643 - Tiến hóa mô hình MSFT - monthly
