timestamp,volume,vw,open,close,high,low,transactions
2023-05-26 04:00:00,127751554.0,13.7197,12.84,13.65,14.195,12.82,341930
2023-05-30 04:00:00,159089328.0,14.7207,14.44,14.71,15.005,14.24,467932
2023-05-31 04:00:00,130392206.0,14.3124,14.19,14.71,14.79,13.82,324571
2023-06-01 04:00:00,126015134.0,14.6832,14.46,14.54,15.22,14.2,343553
2023-06-02 04:00:00,79487612.0,14.5593,14.65,14.52,15.03,14.16,227334
2023-06-05 04:00:00,121421010.0,15.2775,14.365,15.24,15.7,14.35,385495
2023-06-06 04:00:00,74284337.0,15.3236,15.3,15.46,15.58,14.92,220784
2023-06-07 04:00:00,227236050.0,15.7211,16.01,14.69,17.16,14.52,613412
2023-06-08 04:00:00,115591618.0,15.1511,14.44,15.19,15.59,14.39,321571
2023-06-09 04:00:00,94114019.0,15.3055,15.36,15.02,15.98,14.82,283335
2023-06-12 04:00:00,90250316.0,15.6364,15.44,15.65,16.03,15.33,271461
2023-06-13 04:00:00,112765935.0,15.7899,16.18,16.0,16.27,15.1625,306369
2023-06-14 04:00:00,70871917.0,15.8736,15.93,15.91,16.19,15.44,215350
2023-06-15 04:00:00,91200891.0,16.3655,15.66,16.6,16.79,15.49,281960
2023-06-16 04:00:00,90696215.0,16.3501,16.87,16.3,16.91,16.01,264195
2023-06-20 04:00:00,81335009.0,16.0267,15.99,15.79,16.89,15.58,264342
2023-06-21 04:00:00,97885028.0,14.8145,15.66,14.64,15.755,14.37,310355
2023-06-22 04:00:00,103460998.0,14.127,14.3,14.05,14.44,13.86,264919
2023-06-23 04:00:00,74851018.0,13.8818,13.64,14.03,14.14,13.56,214894
2023-06-26 04:00:00,50679919.0,14.1042,13.87,13.94,14.42,13.83,166573
2023-06-27 04:00:00,55410531.0,14.4614,14.22,14.61,14.76,13.96,155842
2023-06-28 04:00:00,66001041.0,15.0927,14.53,15.28,15.43,14.465,210222
2023-06-29 04:00:00,46300897.0,15.2762,15.4,15.2,15.57,15.06,145815
2023-06-30 04:00:00,42195264.0,15.4524,15.48,15.33,15.8,15.23,137183
2023-07-03 04:00:00,26037426.0,15.3892,15.49,15.52,15.59,15.19,93027
2023-07-05 04:00:00,39179854.0,15.5244,15.425,15.7,15.77,15.23,127251
2023-07-06 04:00:00,57158281.0,14.967,15.32,15.13,15.3827,14.62,178928
2023-07-07 04:00:00,48273342.0,15.5772,15.23,15.34,15.9,15.19,143951
2023-07-10 04:00:00,62823618.0,15.8723,15.37,16.3,16.33,14.945,180765
2023-07-11 04:00:00,63236574.0,16.5333,16.47,16.49,16.93,16.15,197354
2023-07-12 04:00:00,50079436.0,16.6663,16.78,16.59,16.94,16.41,155420
2023-07-13 04:00:00,58397771.0,16.9359,16.7,16.74,17.26,16.631,175736
2023-07-14 04:00:00,45115040.0,16.6097,16.76,16.4,17.0,16.27,147118
2023-07-17 04:00:00,63504956.0,17.2606,16.42,17.4,17.59,16.32,206880
2023-07-18 04:00:00,87357410.0,17.7859,17.88,18.08,18.13,17.19,283661
2023-07-19 04:00:00,89044567.0,18.3371,18.02,18.05,18.995,17.76,274487
2023-07-20 04:00:00,62711592.0,17.3422,17.54,17.13,18.0,16.98,210389
2023-07-21 04:00:00,63375867.0,16.6685,17.47,16.43,17.49,16.0,203826
2023-07-24 04:00:00,36133647.0,16.3864,16.61,16.32,16.69,16.12,128513
2023-07-25 04:00:00,36612927.0,16.6043,16.35,16.55,16.86,16.35,120609
2023-07-26 04:00:00,35804775.0,16.3976,16.4,16.43,16.69,16.13,115303
2023-07-27 04:00:00,50685242.0,16.5645,16.8,16.15,17.19,16.0,166471
2023-07-28 04:00:00,106125623.0,17.3804,17.21,17.81,17.97,16.74,324092
2023-07-31 04:00:00,142163168.0,19.4432,18.82,19.84,19.995,18.38,469297
2023-08-01 04:00:00,100126141.0,19.8704,19.46,19.99,20.2399,19.23,334275
2023-08-02 04:00:00,98215768.0,18.8587,19.26,18.97,19.62,18.15,318512
2023-08-03 04:00:00,55168608.0,18.8269,18.63,18.71,19.3,18.61,186211
2023-08-04 04:00:00,72386045.0,18.4197,18.874,18.2,19.08,18.08,242435
2023-08-07 04:00:00,133806872.0,17.7236,18.25,17.99,18.39,17.01,440289
2023-08-08 04:00:00,143014237.0,16.7287,17.49,17.04,17.49,16.1,461553
2023-08-09 04:00:00,126230391.0,15.6936,16.76,15.25,16.92,15.1,406571
2023-08-10 04:00:00,73129139.0,15.5142,15.44,15.41,15.87,15.25,243576
